Current Population,Population Growth Rate,Internal Migration,Overseas Migration,Population Density,Dwellings Approved 2022-23,Dwellings Approved 2023-24,Approval Value 2022-23,Approval Value 2023-24,Approval Growth Rate,20yr Population Growth,10yr Population Growth,5yr Population Growth,Growth Acceleration,Consecutive Growth Years,2025-26 Approvals FYTD,SEIFA Disadvantage Index,SEIFA Advantage Index,SEIFA Economic Index,SEIFA Education Index,sa2_name
3.9389246,1.5857862,0.0026837843,1.1150581,0.78699803,7.4125123,8.291717,3.3092718,1.9104024,2.9408875,0.7950112,0.69196737,0.97978926,0.50431883,1.5062212,3.9164,0.212115,1.3556408,2.4937747,-0.09631041,Gosford - Springfield
-0.7021064,0.15298711,0.31001937,-0.49973795,0.14997913,-5.7943106,-10.118968,-0.5403859,0.46385875,-1.2283634,-0.6972956,-1.02781,-0.35940954,0.2596958,-1.324258,-5.0741396,-0.39918634,-0.020748926,-0.15819639,-0.39009103,Kariong
-1.1977882,-0.5774149,-0.20905672,-0.9329532,-0.2739588,-4.7046742,-10.725863,-0.7803495,-0.0240684,-1.4715893,-0.9134308,-0.8109236,-0.49572596,0.08400178,-0.5769096,-7.8442206,0.039474223,0.32807726,-0.4685627,-0.67057264,Kincumber - Picketts Valley
-0.35059872,-0.019423723,1.1716197,0.19779134,-0.46514967,-3.207942,-9.032814,-0.48451653,-0.5374211,-0.019670935,-0.56901056,0.8571636,0.12245703,0.62009555,-0.10584562,-6.190586,0.23495936,0.099585414,-0.815626,-0.5298762,Narara
-1.1731945,-0.42151108,-0.6253916,-1.0510476,0.121622175,-4.722548,-11.318562,-0.9567592,-0.17959322,-0.5185595,-1.0138932,-1.1425153,-2.288869,-0.7399278,-0.030798102,-7.7092676,-1.02312,-0.20078959,-0.6602144,-0.4561449,Niagara Park - Lisarow
-1.0549203,0.1685825,-0.118136,-0.7856494,-0.7737821,-4.830439,-11.512506,-0.9614133,-0.51979154,0.717455,-0.9497254,-0.34494826,-0.88791794,-0.38381457,-0.96434593,-8.504835,-1.6382985,0.020929582,-0.15662462,-0.18639456,Point Clare - Koolewong
-1.4537042,-0.30461705,-0.024175338,-1.3178564,-0.12806937,-0.96580064,-8.100017,0.19212684,-0.19287813,0.062496386,-0.4764601,-0.92320985,-1.179496,0.16822727,-0.100170314,-9.533388,-1.1923255,-0.19591513,-0.3723303,-0.594533,Saratoga - Davistown
2.6152694,0.29073307,1.1934718,2.5689383,1.8404428,3.555497,0.18608676,2.4036849,-0.73325926,2.022525,1.1815434,0.89154774,1.5823609,0.90478265,1.1055425,3.8171818,0.9530467,-0.13635841,0.015544548,1.6009574,Terrigal - North Avoca
2.4653778,-0.34904513,0.6643677,-0.02051726,0.017733114,7.083505,11.3276,3.3100417,0.48974404,0.29888943,-0.54352933,0.023231544,-0.6659697,0.3534021,0.34151432,9.226207,0.4045135,0.92585135,1.167695,-0.8653009,Umina - Booker Bay - Patonga
1.985515,-0.44464925,-0.5843955,-0.28507686,-0.16917391,-3.4338107,-0.56195563,0.18218137,-1.0840667,-0.015920086,0.23806886,0.572708,-1.3173219,-0.9241013,-0.20940408,-1.4637327,-1.5894632,-0.8460233,-1.7082576,-1.2385429,Wamberal - Forresters Beach
2.1161127,-0.34414425,-0.70002186,0.35790145,0.07054659,2.22513,-0.44131187,0.4744262,-0.8200216,-2.0391498,-1.1368428,-0.595998,-1.6002744,-0.8418166,0.09914394,4.862885,0.44401446,-0.41332814,2.144616,-0.6077273,Woy Woy - Blackwall
2.8859649,0.03456121,0.6884278,0.18365766,0.048454773,-5.9631615,-10.357185,-2.4549415,-0.24530603,0.20757255,-0.96990323,-2.0977302,-1.3459218,-0.08268688,-1.1531682,-8.668747,-0.09109073,0.92851245,0.84429955,-0.94300973,Wyoming
3.0020065,-0.6554137,0.7385171,0.30840445,1.1853032,1.3828652,2.5019312,0.59540355,-0.96396583,0.66706467,-0.5960354,-0.5281299,-1.5973982,0.6617909,0.19340196,-0.69649774,0.4133545,0.6275558,-0.30748728,-0.2047992,Bateau Bay - Killarney Vale
2.3901994,-0.31066322,0.3888379,0.08955026,1.0449297,0.62808824,-10.299698,-1.3737195,0.37016577,-1.712977,1.8991194,-0.16945684,-1.5206434,0.30636582,-0.41725695,-0.2978026,0.76718503,0.5379457,0.78105175,2.3764908,Blue Haven - San Remo
1.6987681,-0.14765036,0.4508608,-0.9586849,0.4973624,-0.0710246,-7.1942277,0.2680808,-0.56839967,-0.20064867,-0.6352114,-0.06755319,-0.7625724,-0.10859915,-0.36394653,0.22725904,0.9230536,0.036759537,1.2168003,0.13267677,Budgewoi - Buff Point - Halekulani
1.9802103,-0.1921666,0.3063233,-0.18265133,0.5845303,2.4880402,8.996626,0.14151838,1.1059147,1.052935,-0.22919333,-0.40396106,-0.5726188,-0.10435082,-0.048637047,3.4525557,0.40941906,0.68511343,-0.09638482,-0.55636734,Chittaway Bay - Tumbi Umbi
2.6718578,-0.20533523,-2.1445994,-0.042844262,0.16578764,2.6931407,6.2138844,0.8541648,-0.60950005,-0.12909453,-1.0314686,-1.0248356,-1.103299,-0.69610214,-1.1680883,2.049831,0.7201699,-0.4472105,0.31480622,-0.57779366,Gorokan - Kanwal - Charmhaven
-2.0159988,0.338004,0.39010692,-0.2021762,-0.12430972,-4.846907,-11.086921,-0.44800165,-0.48776957,-0.44669363,0.44060987,0.045451544,-0.8299375,0.3819528,-0.4222559,-10.078463,-0.4923687,0.014678729,0.3314387,0.40369985,Jilliby - Yarramalong
