sa2_name,state,pressure_score,erp_change_pct,growth_20yr,years_of_growth,dwellings_2526_fytd,seifa_disadvantage_score,total_dwellings_2023-24,lat,lon
Manly West,QLD,2.6,1.6,0.3380755864465682,20,6.0,1046.0,68.0,-27.4619537,153.1692817
East Bunbury - Glen Iris,WA,2.6,1.7,0.2789783889980353,15,10.0,954.0,60.0,-33.3385365,115.6582483
Geraldton - South,WA,2.6,0.6,0.5823453792315384,20,35.0,1021.0,44.0,-30.6337611,116.1858313
Albury - North,NSW,2.6,0.7,0.1529514077617132,20,32.0,928.0,128.0,-36.062814,146.931309
Lorne - Anglesea,VIC,2.6,1.0,0.3228048010107391,19,17.0,1078.0,196.0,-38.3595131,144.2955457
Middle Ridge,QLD,2.6,0.9,0.6281074578989575,22,15.0,1071.0,80.0,-27.608132,151.9663446
Nambucca Heads,NSW,2.6,0.8,0.076739325171693,17,26.0,882.0,276.0,-30.6449458,152.9924524
Hamilton (Qld),QLD,2.6,2.6,0.8093587521663779,22,3.0,1074.0,24.0,-27.4388665,153.0645188
Hornsby - East,NSW,2.5,2.1,0.4237650500731405,19,2.0,1002.0,28.0,-38.1276685,145.2969678
Manoora,QLD,2.5,0.1,0.1581641982080819,22,40.0,817.0,20.0,-34.0005536,138.8174677
Hurstville - North,NSW,2.5,2.4,0.2149210903873744,17,31.0,979.0,160.0,-33.972953,151.0964604
Malanda - Yungaburra,QLD,2.5,1.7,0.2263016502494563,22,63.0,996.0,208.0,-17.2860638,145.6137472
Turner,ACT,2.5,1.1,1.5402360515021458,22,480.0,1096.0,1058.0,-35.2688704,149.1245771
Bald Hills,QLD,2.5,1.4,0.4742776603241719,22,5.0,1028.0,64.0,-27.3107173,153.0124269
Dayboro,QLD,2.5,1.5,0.7924392439243925,22,21.0,1075.0,120.0,-27.1959179,152.8245404
Bathurst - East,NSW,2.5,2.0,0.8096078165287013,22,25.0,984.0,184.0,-41.4336994,147.1334266
South Wentworthville,NSW,2.5,0.9,0.3622567398678807,21,21.0,957.0,232.0,-33.82134,150.9687481
Bellingen,NSW,2.5,-0.1,0.1106498194945848,17,17.0,992.0,388.0,-30.3739913,152.71921
