sa2_code,sa2_name,state,sa4_name,erp_change_pct,years_of_growth,growth_20yr,dwellings_2526_fytd,high_pressure,urban_renewal_score,pressure_score,national_rank,signal
102021057,Wyong,NSW,Central Coast,0.7,20,0.2454763171899946,10.0,0,0.08087943782846749,27.4,1312,Moderate
103011059,Bathurst - East,NSW,Central West,2.0,22,0.8096078165287013,25.0,0,0.10195043752313644,35.0,870,Moderate
103011060,Bathurst Surrounds,NSW,Central West,0.5,17,0.1625680805413434,13.0,0,0.040056611361275925,20.8,1717,Moderate
103011061,Oberon,NSW,Central West,-0.1,14,0.0284440670770537,17.0,0,0.03356906666666667,16.1,1982,Moderate
103011612,Bathurst - South,NSW,Central West,-1.0,7,-0.0617063137184761,22.0,0,0.10161079762311867,10.3,2223,Moderate
103011613,Bathurst - West,NSW,Central West,1.0,22,0.2885217391304348,40.0,0,0.07405516758866265,29.8,1141,Moderate
103021062,Condobolin,NSW,Central West,-0.6,1,-0.2066941426252029,6.0,0,0.013654367805150336,2.4,2403,Moderate
103021063,Cowra,NSW,Central West,-0.1,8,-0.0795649108671568,11.0,0,0.04025492033509033,12.0,2158,Moderate
103021064,Cowra Surrounds,NSW,Central West,0.6,18,0.0849464386393535,7.0,0,0.02875357064170953,21.2,1689,Moderate
103021065,Forbes,NSW,Central West,-0.3,6,-0.0737066567773039,14.0,0,0.06185799498154558,12.1,2157,Moderate
103021066,Grenfell,NSW,Central West,-0.5,3,-0.0621069182389937,4.0,0,0.014055050463303895,4.3,2374,Moderate
103021067,Parkes (NSW),NSW,Central West,0.2,9,0.0223027599665458,5.0,0,0.0716582378752968,17.1,1925,Moderate
103021068,Parkes Surrounds,NSW,Central West,-0.9,3,-0.1839050131926121,2.0,0,0.003914999332799467,2.0,2429,Moderate
103021069,West Wyalong,NSW,Central West,-0.2,3,-0.1763097949886105,14.0,0,0.02934629402625784,6.0,2329,Moderate
103031070,Lithgow,NSW,Central West,-0.1,9,-0.0462977396726422,16.0,0,0.05187896904477144,12.0,2160,Moderate
103031071,Lithgow Surrounds,NSW,Central West,0.4,19,0.1247357293868921,15.0,0,0.062225223139691865,22.8,1601,Moderate
103031072,Mudgee,NSW,Central West,1.9,16,0.2955051629884592,57.0,1,0.28672355031489016,49.3,444,Moderate
103031073,Mudgee Surrounds - East,NSW,Central West,1.1,6,-0.0676009892827699,6.0,0,0.008831280445844192,11.2,2196,Moderate
103031074,Mudgee Surrounds - West,NSW,Central West,0.8,18,0.1593406593406593,26.0,0,0.045659119743786086,23.2,1568,Moderate
103031075,Wollangambe - Wollemi,NSW,Central West,0.0,0,0.0,0.0,0,0.0,2.3,2407,Moderate
103041076,Blayney,NSW,Central West,1.6,21,0.198429802955665,32.0,0,0.050225126981713775,29.4,1166,Moderate
103041077,Orange,NSW,Central West,0.0,5,-0.1175004615100609,29.0,0,0.1399223585388577,17.5,1902,Moderate
103041078,Orange - North,NSW,Central West,1.4,22,0.7467418362864255,42.0,0,0.1491440069245345,36.2,817,Moderate
103041079,Orange Surrounds,NSW,Central West,0.6,21,0.1499522445081184,41.0,0,0.10172649707140356,30.9,1076,Moderate
104011080,Grafton,NSW,Coffs Harbour - Grafton,0.6,13,0.0651939073133844,18.0,0,0.29534634506174745,33.1,972,Moderate
104011081,Grafton Surrounds,NSW,Coffs Harbour - Grafton,2.0,20,0.1902399785494034,29.0,0,0.091908172786644,33.2,969,Moderate
104011082,Maclean - Yamba - Iluka,NSW,Coffs Harbour - Grafton,2.1,22,0.2703342618384401,235.0,1,0.547822551511506,61.8,263,Moderate
104021083,Bellingen,NSW,Coffs Harbour - Grafton,-0.1,17,0.1106498194945848,17.0,0,0.13506177843247905,21.7,1670,Moderate
104021084,Coffs Harbour - North,NSW,Coffs Harbour - Grafton,1.0,21,0.2590019373371635,41.0,0,0.26201131491333396,34.6,887,Moderate
104021085,Coffs Harbour - South,NSW,Coffs Harbour - Grafton,0.2,21,0.3347393087287639,28.0,1,0.42480333713728496,43.2,588,Moderate
104021086,Coramba - Nana Glen - Bucca,NSW,Coffs Harbour - Grafton,0.9,18,0.1095890410958904,1.0,0,0.008929084656743323,20.1,1766,Moderate
104021087,Dorrigo,NSW,Coffs Harbour - Grafton,0.1,7,-0.0713874496257915,3.0,0,0.011210884353741495,9.4,2254,Moderate
104021088,Korora - Emerald Beach,NSW,Coffs Harbour - Grafton,1.9,22,0.6105247510034191,50.0,1,0.31778591935138284,46.3,514,Moderate
104021089,Sawtell - Boambee,NSW,Coffs Harbour - Grafton,0.4,20,0.1376613218615565,29.0,0,0.06673542116565567,27.2,1320,Moderate
104021090,Urunga,NSW,Coffs Harbour - Grafton,0.3,20,0.065301724137931,9.0,0,0.028429139436683782,22.2,1629,Moderate
104021091,Woolgoolga - Arrawarra,NSW,Coffs Harbour - Grafton,1.0,21,0.4683383744755586,37.0,0,0.1805055369300581,36.0,822,Moderate
105011092,Bourke - Brewarrina,NSW,Far West and Orana,-0.4,1,-0.3747767059664166,5.0,0,0.011399049555045034,2.5,2401,Moderate
105011093,Cobar,NSW,Far West and Orana,-1.4,3,-0.2042718446601941,3.0,0,0.01214891313095982,1.2,2438,Moderate
105011094,Coonamble,NSW,Far West and Orana,0.5,3,-0.1983487320621191,3.0,0,0.043020544294978175,8.7,2277,Moderate
105011095,Nyngan - Warren,NSW,Far West and Orana,-0.3,2,-0.2412010008340283,5.0,0,0.04630269873259414,6.0,2330,Moderate
105011096,Walgett - Lightning Ridge,NSW,Far West and Orana,-0.4,1,-0.335592052371655,11.0,0,0.01508827705236354,3.1,2394,Moderate
105021097,Broken Hill,NSW,Far West and Orana,-0.5,1,-0.1618729096989966,5.0,0,0.014914999332799467,2.6,2399,Moderate
105021098,Far West,NSW,Far West and Orana,-0.6,5,-0.298780487804878,2.0,0,0.004875283446712018,5.1,2353,Moderate
105031099,Coonabarabran,NSW,Far West and Orana,0.0,4,-0.1277576555811656,10.0,0,0.014935141731014213,7.2,2306,Moderate
105031100,Dubbo - East,NSW,Far West and Orana,0.2,13,0.0001852194850898,41.0,0,0.05733286750593731,16.8,1940,Moderate
105031101,Dubbo - South,NSW,Far West and Orana,0.8,19,0.319010080124063,160.0,1,1.6857789031735475,80.6,153,High
105031102,Dubbo - West,NSW,Far West and Orana,1.4,21,0.5251818690542809,62.0,0,0.06749291433694292,31.1,1062,Moderate
105031103,Dubbo Surrounds,NSW,Far West and Orana,1.2,17,0.136859626410209,6.0,0,0.014393333333333334,20.5,1738,Moderate
105031104,Gilgandra,NSW,Far West and Orana,-0.3,4,-0.0875232774674115,4.0,0,0.006534435261707989,5.4,2342,Moderate
105031105,Narromine,NSW,Far West and Orana,-0.7,6,-0.0875666573112545,10.0,0,0.031249633038364064,7.3,2304,Moderate
105031106,Wellington,NSW,Far West and Orana,0.6,12,0.0192157300860239,15.0,0,0.03335076581449592,16.1,1983,Moderate
106011107,Branxton - Greta - Pokolbin,NSW,Hunter Valley exc Newcastle,6.9,22,1.0491256174075558,229.0,1,0.891344188817251,94.8,37,Critical
106011108,Cessnock,NSW,Hunter Valley exc Newcastle,1.2,18,0.2431740177245018,172.0,1,0.4832562246679243,71.6,194,High
106011109,Cessnock Surrounds,NSW,Hunter Valley exc Newcastle,2.1,22,0.5546191763396406,34.0,1,0.2141447118228395,42.7,605,Moderate
106011110,Dungog,NSW,Hunter Valley exc Newcastle,1.4,18,0.1879122196906104,33.0,0,0.06058300476855179,28.2,1244,Moderate
106011111,Kurri Kurri - Abermain,NSW,Hunter Valley exc Newcastle,2.8,21,0.4987190435525192,65.0,1,0.3634257991975838,64.3,246,Moderate
106011112,Singleton,NSW,Hunter Valley exc Newcastle,-0.3,16,0.1710067114093959,28.0,0,0.05883564090472458,17.8,1889,Moderate
106011113,Singleton Surrounds,NSW,Hunter Valley exc Newcastle,0.6,21,0.1699039487726787,3.0,0,0.02666666666666667,23.7,1541,Moderate
106021114,Maitland,NSW,Hunter Valley exc Newcastle,1.8,22,1.4812695109261187,153.0,1,1.284806654047899,85.2,116,High
106021116,Maitland - North,NSW,Hunter Valley exc Newcastle,1.1,22,0.75,18.0,0,0.05487107128655725,27.9,1262,Moderate
