sa2_code,sa2_name,state,sa4_name,composite_score_final,v9_national_rank,high_pressure_v9,urban_renewal_score,years_of_growth
107041145,Corrimal - Tarrawanna - Bellambi,NSW,Illawarra,3.7684556776122693,799,0,0.16608421433231238,15
317011445,Cambooya - Wyreema,QLD,Toowoomba,3.7651592769803424,800,0,0.07303069082698932,22
202011021,Flora Hill - Spring Gully,VIC,Bendigo,3.7645476492424432,801,0,0.2676170374209893,19
506071146,Manning - Waterford,WA,Perth - South East,3.7636656319226405,802,0,0.1275354710992314,19
503021040,North Perth,WA,Perth - Inner,3.7629728948954613,803,0,0.09278529978788441,19
318021583,Deeragun - Jensen,QLD,Townsville,3.753417911732948,804,0,0.06829222429097127,22
206031113,Ascot Vale,VIC,Melbourne - Inner,3.752694730465085,805,0,0.07224763921274202,20
510031272,Karratha,WA,Western Australia - Outback (North),3.7519696466881793,806,0,0.11102545708302825,19
312021354,Shoal Point - Bucasia,QLD,Mackay - Isaac - Whitsunday,3.749026590755289,807,0,0.1634416976493269,21
506071147,South Perth - Kensington,WA,Perth - South East,3.746486043749446,808,0,0.1919950903733957,18
401051017,Norwood (SA),SA,Adelaide - Central and Hills,3.746243721450865,809,0,0.19081180623337052,20
212031306,Lynbrook - Lyndhurst,VIC,Melbourne - South East,3.745038954326556,810,0,0.17585714483148288,22
210031440,Hadfield,VIC,Melbourne - North West,3.7422802508500848,811,0,0.16529446612669624,17
124031708,Jordan Springs - Llandilo,NSW,Sydney - Outer West and Blue Mountains,3.7411270433825017,812,0,0.08635359251078548,21
126021725,Ryde - South,NSW,Sydney - Ryde,3.740962257824564,813,0,0.19069411972125958,22
303021052,Annerley,QLD,Brisbane - South,3.7284533946659546,814,0,0.17098925915257696,21
122031695,Dee Why - North,NSW,Sydney - Northern Beaches,3.7249699073467015,815,0,0.23818201039814826,21
801041046,Ngunnawal,ACT,Australian Capital Territory,3.7247195409425666,816,0,0.5239230484541326,17
103041078,Orange - North,NSW,Central West,3.721076773493163,817,0,0.1491440069245345,22
301011003,Birkdale,QLD,Brisbane - East,3.7209601053627344,818,0,0.12999451587500804,19
312021350,Ooralea - Bakers Creek,QLD,Mackay - Isaac - Whitsunday,3.7181202676697644,819,0,0.1438965084404507,22
403041086,Reynella,SA,Adelaide - South,3.7144769022599684,820,0,0.1279734797096159,18
120031393,Croydon Park - Enfield,NSW,Sydney - Inner West,3.709744380777598,821,0,0.29533798442066145,17
104021091,Woolgoolga - Arrawarra,NSW,Coffs Harbour - Grafton,3.7062151466207327,822,0,0.1805055369300581,21
206031502,Essendon - East,VIC,Melbourne - Inner,3.703867146203574,823,0,0.19824210337942239,19
309021231,Currumbin - Tugun,QLD,Gold Coast,3.7024255874242415,824,0,0.263593384008949,20
215021470,Mildura - South,VIC,North West,3.6983243414066513,825,0,0.1434624551721757,22
128011606,Woolooware - Burraneer,NSW,Sydney - Sutherland,3.6966581002618133,826,0,0.10741551882001896,18
205051101,Maffra,VIC,Latrobe - Gippsland,3.6957154102677916,827,0,0.10288571459501329,21
118021653,Matraville - Chifley,NSW,Sydney - Eastern Suburbs,3.6912941826225207,828,0,0.19596919797478224,17
504031065,Middle Swan - Herne Hill,WA,Perth - North East,3.6895432248523274,829,0,0.08069997168425883,18
316061441,Glass House Mountains,QLD,Sunshine Coast,3.6831331480768337,830,0,0.06374758811409498,22
211011254,Knoxfield - Scoresby,VIC,Melbourne - Outer East,3.683076930907718,831,0,0.17636725815604992,17
110041203,Tamworth - North,NSW,New England and North West,3.6822243370727397,832,0,0.1778712284006408,20
128011531,Sylvania - Taren Point,NSW,Sydney - Sutherland,3.677422156651489,833,0,0.1905583085632241,16
509021243,Northam,WA,Western Australia - Wheat Belt,3.675344718335884,834,0,0.15702335246888943,17
210011231,Strathmore,VIC,Melbourne - North West,3.6747724786076335,835,0,0.1439558091017168,18
313011363,Bribie Island,QLD,Moreton Bay - North,3.6746374561274044,836,0,0.0860961740650765,22
