sa2_code,sa2_name,state,sa4_name,v9_score,v9_rank,high_pressure_v9,saturation_index,v10_score,v10_rank,top_3_drivers,sa4_rank,high_pressure_pct
305041134,Bardon,QLD,Brisbane Inner City,2.9496704904967026,1180,0,0.0030388195849877513,2.940706974040921,1171,total_dwellings_2024-25: -2.192 | urban_renewal_score: -2.165 | lot_approvals_2yr: -1.135,11,39.4
206061138,Toorak,VIC,Melbourne - Inner,2.993923919899158,1157,0,0.018307166642355814,2.939113655783029,1172,total_dwellings_2024-25: -2.144 | erp_change_pct: -1.302 | lot_approvals_2yr: -1.211,4,49.1
308051534,Gladstone,QLD,Central Queensland,2.9413490817553987,1188,0,0.0008610154216941965,2.9388165348354214,1173,total_dwellings_2024-25: -2.103 | urban_renewal_score: -1.794 | lot_approvals_2yr: -1.209,66,11.8
305041133,Auchenflower,QLD,Brisbane Inner City,2.9444448756179686,1185,0,0.002437074080745583,2.937269045329416,1174,total_dwellings_2024-25: -2.090 | urban_renewal_score: -1.866 | lot_approvals_2yr: -1.175,11,39.4
405011110,Barossa - Angaston,SA,Barossa - Yorke - Mid North,2.949641873723874,1181,0,0.0052327382282124765,2.9342071699317027,1175,urban_renewal_score: -2.174 | total_dwellings_2024-25: -1.936 | peak_year_approvals: -1.127,67,5.3
120031392,Canterbury (North) - Ashbury,NSW,Sydney - Inner West,2.9867037902895825,1162,0,0.01773832143942017,2.9337246784130913,1176,total_dwellings_2024-25: -2.628 | lot_approvals_2yr: -1.636 | total_value_m_2024-25: -1.161,30,33.3
505011079,Mullaloo - Kallaroo,WA,Perth - North West,2.951900222303666,1178,0,0.007087598496250764,2.9309783387269843,1177,urban_renewal_score: -2.086 | total_dwellings_2024-25: -1.913 | peak_year_approvals: -1.158,22,30.4
211011260,Wantirna South,VIC,Melbourne - Outer East,3.0057089986722145,1152,0,0.025761722345240448,2.92827675799783,1178,total_dwellings_2024-25: -1.873 | erp_change_pct: -1.308 | lot_approvals_2yr: -1.200,48,27.5
311061330,Kingston (Qld),QLD,Logan - Beaudesert,2.9443447858472744,1186,0,0.006365091646877663,2.92560376144535,1179,total_dwellings_2024-25: -1.941 | urban_renewal_score: -1.900 | lot_approvals_2yr: -1.134,10,37.1
308011192,Emerald,QLD,Central Queensland,2.9291331038715414,1192,0,0.0016060784132037483,2.924428686424013,1180,total_dwellings_2024-25: -2.264 | urban_renewal_score: -2.053 | lot_approvals_2yr: -1.131,66,11.8
122021690,Mona Vale - Warriewood (North),NSW,Sydney - Northern Beaches,2.946425304966176,1184,0,0.009173947739895445,2.919394953198911,1181,total_dwellings_2024-25: -1.998 | erp_change_pct: -1.565 | urban_renewal_score: -1.561,57,5.3
505011073,Greenwood - Warwick,WA,Perth - North West,2.9427721450277504,1187,0,0.008036741810684152,2.919121845090489,1182,urban_renewal_score: -2.112 | total_dwellings_2024-25: -1.107 | peak_year_approvals: -1.060,22,30.4
403031069,Mitcham (SA),SA,Adelaide - South,2.953742307784841,1177,0,0.011760511740164535,2.9190047866967164,1183,urban_renewal_score: -2.092 | erp_change_pct: -1.424 | lot_approvals_2yr: -1.037,47,22.9
511041288,Geraldton - South,WA,Western Australia - Outback (South),2.9291102278020777,1193,0,0.0036416030397838114,2.9184435710926517,1184,total_dwellings_2024-25: -2.050 | urban_renewal_score: -1.736 | erp_change_pct: -1.532,77,5.3
305031119,Albion,QLD,Brisbane Inner City,2.947011140499185,1182,0,0.01037228146296551,2.9164439114754326,1185,total_dwellings_2024-25: -2.461 | urban_renewal_score: -1.925 | lot_approvals_2yr: -1.284,11,39.4
